codigo,codigo_departamento,nombre
66456,66,MISTRATÓ
97001,97,MITÚ
86001,86,MOCOA
68464,68,MOGOTES
68468,68,MOLAGAVITA
23464,23,MOMIL
13468,13,MOMPÓS
15464,15,MONGUA
15466,15,MONGUÍ
15469,15,MONIQUIRÁ
5467,5,MONTEBELLO
13458,13,MONTECRISTO
23466,23,MONTELÍBANO
63470,63,MONTENEGRO
23001,23,MONTERÍA
85162,85,MONTERREY
23500,23,MOÑITOS
13473,13,MORALES
19473,19,MORALES
18479,18,MORELIA
94888,94,MORICHAL
70473,70,MORROA
25473,25,MOSQUERA
52473,52,MOSQUERA
15476,15,MOTAVITA
73461,73,MURILLO
5475,5,MURINDÓ
5480,5,MUTATÁ
54480,54,MUTISCUA
15480,15,MUZO
5483,5,NARIÑO
25483,25,NARIÑO
52480,52,NARIÑO
41483,41,NÁTAGA
73483,73,NATAGAIMA
5495,5,NECHÍ
5490,5,NECOCLÍ
17486,17,NEIRA
41001,41,NEIVA
25486,25,NEMOCÓN
25488,25,NILO
25489,25,NIMAIMA
15491,15,NOBSA
25491,25,NOCAIMA
17495,17,NORCASIA
13490,13,NOROSÍ
27491,27,NÓVITA
47460,47,NUEVA GRANADA
15494,15,NUEVO COLÓN
85225,85,NUNCHÍA
27495,27,NUQUÍ
76497,76,OBANDO
68498,68,OCAMONTE
54498,54,OCAÑA
68500,68,OIBA
15500,15,OICATÁ
5501,5,OLAYA
52490,52,OLAYA HERRERA
68502,68,ONZAGA
41503,41,OPORAPA
86320,86,ORITO
85230,85,OROCUÉ
73504,73,ORTEGA
52506,52,OSPINA
15507,15,OTANCHE
70508,70,OVEJAS
15511,15,PACHAVITA
25513,25,PACHO
97511,97,PACOA
17513,17,PÁCORA
19513,19,PADILLA
19517,19,PÁEZ
15514,15,PÁEZ
41518,41,PAICOL
20517,20,PAILITAS
25518,25,PAIME
15516,15,PAIPA
15518,15,PAJARITO
41524,41,PALERMO
17524,17,PALESTINA
41530,41,PALESTINA
68522,68,PALMAR
8520,8,PALMAR DE VARELA
68524,68,PALMAS DEL SOCORRO
76520,76,PALMIRA
70523,70,PALMITO
73520,73,PALOCABILDO
54518,54,PAMPLONA
54520,54,PAMPLONITA
94887,94,PANA PANA
25524,25,PANDI
15522,15,PANQUEBA
97777,97,PAPUNAUA
68533,68,PÁRAMO
25530,25,PARATEBUENO
25535,25,PASCA
52001,52,PASTO
19532,19,PATÍA
15531,15,PAUNA
15533,15,PAYA
85250,85,PAZ DE ARIPORO
15537,15,PAZ DE RÍO
47541,47,PEDRAZA
20550,20,PELAYA
17541,17,PENSILVANIA
5541,5,PEÑOL
5543,5,PEQUE
66001,66,PEREIRA
15542,15,PESCA
19533,19,PIAMONTE
68547,68,PIEDECUESTA
73547,73,PIEDRAS
19548,19,PIENDAMÓ
63548,63,PIJAO
47545,47,PIJIÑO DEL CARMEN
68549,68,PINCHOTE
13549,13,PINILLOS
8549,8,PIOJÓ
15550,15,PISBA
41548,41,PITAL
41551,41,PITALITO
47551,47,PIVIJAY
73555,73,PLANADAS
23555,23,PLANETA RICA
47555,47,PLATO
52540,52,POLICARPA
8558,8,POLONUEVO
8560,8,PONEDERA
19001,19,POPAYÁN
85263,85,PORE
52560,52,POTOSÍ
76563,76,PRADERA
73563,73,PRADO
52565,52,PROVIDENCIA
88564,88,PROVIDENCIA
20570,20,PUEBLO BELLO
23570,23,PUEBLO NUEVO
66572,66,PUEBLO RICO
47570,47,PUEBLO VIEJO
5576,5,PUEBLORRICO
68572,68,PUENTE NACIONAL
52573,52,PUERRES
91530,91,PUERTO ALEGRÍA
91536,91,PUERTO ARICA
86568,86,PUERTO ASÍS
5579,5,PUERTO BERRÍO
15572,15,PUERTO BOYACÁ
86569,86,PUERTO CAICEDO
99001,99,PUERTO CARREÑO
8573,8,PUERTO COLOMBIA
94884,94,PUERTO COLOMBIA
50450,50,PUERTO CONCORDIA
23574,23,PUERTO ESCONDIDO
50568,50,PUERTO GAITÁN
86571,86,PUERTO GUZMÁN
23580,23,PUERTO LIBERTADOR
50577,50,PUERTO LLERAS
50573,50,PUERTO LÓPEZ
5585,5,PUERTO NARE
91540,91,PUERTO NARIÑO
68573,68,PUERTO PARRA
18592,18,PUERTO RICO
50590,50,PUERTO RICO
81591,81,PUERTO RONDÓN
25572,25,PUERTO SALGAR
91669,91,PUERTO SANTANDER
54553,54,PUERTO SANTANDER
19573,19,PUERTO TEJADA
5591,5,PUERTO TRIUNFO
68575,68,PUERTO WILCHES
25580,25,PULÍ
52585,52,PUPIALES
19585,19,PURACÉ
73585,73,PURIFICACIÓN
23586,23,PURÍSIMA
25592,25,QUEBRADANEGRA
25594,25,QUETAME
27001,27,QUIBDÓ
63594,63,QUIMBAYA
66594,66,QUINCHÍA
15580,15,QUÍPAMA
25596,25,QUIPILE
54599,54,RAGONVALIA
15599,15,RAMIRIQUÍ
15600,15,RÁQUIRA
85279,85,RECETOR
13580,13,REGIDOR
5604,5,REMEDIOS
47605,47,REMOLINO
8606,8,REPELÓN
50606,50,RESTREPO
76606,76,RESTREPO
5607,5,RETIRO
25612,25,RICAURTE
52612,52,RICAURTE
73616,73,RIO BLANCO
20614,20,RÍO DE ORO
27580,27,RÍO IRO
27600,27,RÍO QUITO
13600,13,RÍO VIEJO
76616,76,RIOFRÍO
44001,44,RIOHACHA
5615,5,RIONEGRO
68615,68,RIONEGRO
17614,17,RIOSUCIO
27615,27,RIOSUCIO
17616,17,RISARALDA
41615,41,RIVERA
52621,52,ROBERTO PAYÁN
76622,76,ROLDANILLO
73622,73,RONCESVALLES
15621,15,RONDÓN
19622,19,ROSAS
73624,73,ROVIRA
68655,68,SABANA DE TORRES
8634,8,SABANAGRANDE
5628,5,SABANALARGA
8638,8,SABANALARGA
85300,85,SABANALARGA
47660,47,SABANAS DE SAN ANGEL
5631,5,SABANETA
15632,15,SABOYÁ
85315,85,SÁCAMA
15638,15,SÁCHICA
23660,23,SAHAGÚN
41660,41,SALADOBLANCO
17653,17,SALAMINA
47675,47,SALAMINA
54660,54,SALAZAR
73671,73,SALDAÑA
63690,63,SALENTO
5642,5,SALGAR
15646,15,SAMACÁ
17662,17,SAMANÁ
52678,52,SAMANIEGO
70670,70,SAMPUÉS
41668,41,SAN AGUSTÍN
20710,20,SAN ALBERTO
68669,68,SAN ANDRÉS
88001,88,SAN ANDRÉS
5647,5,SAN ANDRÉS DE CUERQUÍA
52835,52,SAN ANDRÉS DE TUMACO
23670,23,SAN ANDRÉS SOTAVENTO
23672,23,SAN ANTERO
73675,73,SAN ANTONIO
25645,25,SAN ANTONIO DEL TEQUENDAMA
68673,68,SAN BENITO
70678,70,SAN BENITO ABAD
25649,25,SAN BERNARDO
52685,52,SAN BERNARDO
23675,23,SAN BERNARDO DEL VIENTO
54670,54,SAN CALIXTO
23678,23,SAN CARLOS
5649,5,SAN CARLOS
50680,50,SAN CARLOS DE GUAROA
25653,25,SAN CAYETANO
54673,54,SAN CAYETANO
13620,13,SAN CRISTÓBAL
20750,20,SAN DIEGO
15660,15,SAN EDUARDO
13647,13,SAN ESTANISLAO
94883,94,SAN FELIPE
13650,13,SAN FERNANDO
5652,5,SAN FRANCISCO
25658,25,SAN FRANCISCO
86755,86,SAN FRANCISCO
68679,68,SAN GIL
13654,13,SAN JACINTO
13655,13,SAN JACINTO DEL CAUCA
5656,5,SAN JERÓNIMO
68682,68,SAN JOAQUÍN
17665,17,SAN JOSÉ
5658,5,SAN JOSÉ DE LA MONTAÑA
68684,68,SAN JOSÉ DE MIRANDA
15664,15,SAN JOSÉ DE PARE
23682,23,SAN JOSÉ DE URÉ
18610,18,SAN JOSÉ DEL FRAGUA
95001,95,SAN JOSÉ DEL GUAVIARE
27660,27,SAN JOSÉ DEL PALMAR
50683,50,SAN JUAN DE ARAMA
70702,70,SAN JUAN DE BETULIA
25662,25,SAN JUAN DE RÍO SECO
5659,5,SAN JUAN DE URABÁ
44650,44,SAN JUAN DEL CESAR
13657,13,SAN JUAN NEPOMUCENO
50686,50,SAN JUANITO
52687,52,SAN LORENZO
5660,5,SAN LUIS
73678,73,SAN LUIS
85325,85,SAN LUIS DE GACENO
15667,15,SAN LUIS DE GACENO
70742,70,SAN LUIS DE SINCÉ
70708,70,SAN MARCOS
20770,20,SAN MARTÍN
50689,50,SAN MARTÍN
13667,13,SAN MARTÍN DE LOBA
15673,15,SAN MATEO
68686,68,SAN MIGUEL
86757,86,SAN MIGUEL
15676,15,SAN MIGUEL DE SEMA
70713,70,SAN ONOFRE
52693,52,SAN PABLO
15681,15,SAN PABLO DE BORBUR
13670,13,SAN PABLO DE BORBUR
5664,5,SAN PEDRO
70717,70,SAN PEDRO
76670,76,SAN PEDRO
52694,52,SAN PEDRO DE CARTAGO
5665,5,SAN PEDRO DE URABA
23686,23,SAN PELAYO
5667,5,SAN RAFAEL
5670,5,SAN ROQUE
19693,19,SAN SEBASTIÁN
47692,47,SAN SEBASTIÁN DE BUENAVISTA
5674,5,SAN VICENTE
68689,68,SAN VICENTE DE CHUCURÍ
18753,18,SAN VICENTE DEL CAGUÁN
47703,47,SAN ZENÓN
52683,52,SANDONÁ
47707,47,SANTA ANA
5679,5,SANTA BÁRBARA
52696,52,SANTA BÁRBARA
68705,68,SANTA BÁRBARA
47720,47,SANTA BÁRBARA DE PINTO
13673,13,SANTA CATALINA
68720,68,SANTA HELENA DEL OPÓN
73686,73,SANTA ISABEL
8675,8,SANTA LUCÍA
15690,15,SANTA MARÍA
41676,41,SANTA MARÍA
47001,47,SANTA MARTA
13683,13,SANTA ROSA
19701,19,SANTA ROSA
66682,66,SANTA ROSA DE CABAL
5686,5,SANTA ROSA DE OSOS
15693,15,SANTA ROSA DE VITERBO
13688,13,SANTA ROSA DEL SUR
99624,99,SANTA ROSALÍA
15696,15,SANTA SOFÍA
52699,52,SANTACRUZ
5042,5,SANTAFÉ DE ANTIOQUIA
15686,15,SANTANA
19698,19,SANTANDER DE QUILICHAO
86760,86,SANTIAGO
54680,54,SANTIAGO
70820,70,SANTIAGO DE TOLÚ
5690,5,SANTO DOMINGO
8685,8,SANTO TOMÁS
66687,66,SANTUARIO
52720,52,SAPUYES
81736,81,SARAVENA
54720,54,SARDINATA
25718,25,SASAIMA
15720,15,SATIVANORTE
15723,15,SATIVASUR
5736,5,SEGOVIA
25736,25,SESQUILÉ
76736,76,SEVILLA
15740,15,SIACHOQUE
25740,25,SIBATÉ
86749,86,SIBUNDOY
54743,54,SILOS
25743,25,SILVANIA
19743,19,SILVIA
68745,68,SIMACOTA
25745,25,SIMIJACA
13744,13,SIMITÍ
70001,70,SINCELEJO
27745,27,SIPÍ
47745,47,SITIONUEVO
25754,25,SOACHA
15753,15,SOATÁ
15757,15,SOCHA
68755,68,SOCORRO
15755,15,SOCOTÁ
15759,15,SOGAMOSO
18756,18,SOLANO
8758,8,SOLEDAD
18785,18,SOLITA
15761,15,SOMONDOCO
5756,5,SONSÓN
5761,5,SOPETRÁN
13760,13,SOPLAVIENTO
25758,25,SOPÓ
15762,15,SORA
15764,15,SORACÁ
15763,15,SOTAQUIRÁ
19760,19,SOTARA
68770,68,SUAITA
8770,8,SUAN
19780,19,SUÁREZ
73770,73,SUÁREZ
41770,41,SUAZA
25769,25,SUBACHOQUE
19785,19,SUCRE
68773,68,SUCRE
70771,70,SUCRE
25772,25,SUESCA
25777,25,SUPATÁ
17777,17,SUPÍA
68780,68,SURATÁ
25779,25,SUSA
15774,15,SUSACÓN
15776,15,SUTAMARCHÁN
25781,25,SUTATAUSA
15778,15,SUTATENZA
25785,25,TABIO
27787,27,TADÓ
13780,13,TALAIGUA NUEVO
20787,20,TAMALAMEQUE
85400,85,TÁMARA
81794,81,TAME
5789,5,TÁMESIS
52786,52,TAMINANGO
52788,52,TANGUA
97666,97,TARAIRA
91798,91,TARAPACÁ
5790,5,TARAZÁ
41791,41,TARQUI
5792,5,TARSO
15790,15,TASCO
85410,85,TAURAMENA
25793,25,TAUSA
41799,41,TELLO
25797,25,TENA
47798,47,TENERIFE
25799,25,TENJO
15798,15,TENZA
54800,54,TEORAMA
41801,41,TERUEL
41797,41,TESALIA
25805,25,TIBACUY
15804,15,TIBANÁ
15806,15,TIBASOSA
25807,25,TIBIRITA
54810,54,TIBÚ
23807,23,TIERRALTA
41807,41,TIMANÁ
19807,19,TIMBÍO
19809,19,TIMBIQUÍ
15808,15,TINJACÁ
15810,15,TIPACOQUE
13810,13,TIQUISIO
5809,5,TITIRIBÍ
15814,15,TOCA
25815,25,TOCAIMA
25817,25,TOCANCIPÁ
15816,15,TOGÜÍ
5819,5,TOLEDO
54820,54,TOLEDO
70823,70,TOLÚ VIEJO
68820,68,TONA
15820,15,TÓPAGA
25823,25,TOPAIPÍ
19821,19,TORIBIO
76823,76,TORO
15822,15,TOTA
19824,19,TOTORÓ
85430,85,TRINIDAD
76828,76,TRUJILLO
8832,8,TUBARÁ
23815,23,TUCHÍN
76834,76,TULUÁ
15001,15,TUNJA
15832,15,TUNUNGUÁ
52838,52,TÚQUERRES
13836,13,TURBACO
13838,13,TURBANÁ
5837,5,TURBO
15835,15,TURMEQUÉ
15837,15,TUTA
15839,15,TUTAZÁ
25839,25,UBALÁ
25841,25,UBAQUE
76845,76,ULLOA
15842,15,UMBITA
25845,25,UNE
27800,27,UNGUÍA
27810,27,UNIÓN PANAMERICANA
5842,5,URAMITA
50370,50,URIBE
44847,44,URIBIA
5847,5,URRAO
44855,44,URUMITA
8849,8,USIACURÍ
25851,25,ÚTICA
5854,5,VALDIVIA
23855,23,VALENCIA
86865,86,VALLE DE GUAMEZ
68855,68,VALLE DE SAN JOSÉ
73854,73,VALLE DE SAN JUAN
20001,20,VALLEDUPAR
5856,5,VALPARAÍSO
18860,18,VALPARAÍSO
5858,5,VEGACHÍ
68861,68,VÉLEZ
73861,73,VENADILLO
5861,5,VENECIA
25506,25,VENECIA
15861,15,VENTAQUEMADA
25862,25,VERGARA
76863,76,VERSALLES
68867,68,VETAS
25867,25,VIANÍ
17867,17,VICTORIA
5873,5,VIGÍA DEL FUERTE
76869,76,VIJES
54871,54,VILLA CARO
15407,15,VILLA DE LEYVA
25843,25,VILLA DE SAN DIEGO DE UBATE
54874,54,VILLA DEL ROSARIO
19845,19,VILLA RICA
86885,86,VILLAGARZÓN
25871,25,VILLAGÓMEZ
73870,73,VILLAHERMOSA
17873,17,VILLAMARÍA
13873,13,VILLANUEVA
44874,44,VILLANUEVA
68872,68,VILLANUEVA
85440,85,VILLANUEVA
25873,25,VILLAPINZÓN
73873,73,VILLARRICA
50001,50,VILLAVICENCIO
41872,41,VILLAVIEJA
25875,25,VILLETA
25878,25,VIOTÁ
15879,15,VIRACACHÁ
50711,50,VISTA HERMOSA
17877,17,VITERBO
25885,25,YACOPÍ
52885,52,YACUANQUER
41885,41,YAGUARÁ
5885,5,YALÍ
5887,5,YARUMAL
97889,97,YAVARATÉ
5890,5,YOLOMBÓ
5893,5,YONDÓ
85001,85,YOPAL
76890,76,YOTOCO
76892,76,YUMBO
13894,13,ZAMBRANO
68895,68,ZAPATOCA
47960,47,ZAPAYÁN
5895,5,ZARAGOZA
76895,76,ZARZAL
15897,15,ZETAQUIRA
25898,25,ZIPACÓN
25899,25,ZIPAQUIRÁ
47980,47,ZONA BANANERA